trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
342,False,"{'a': 0.7, 'e': 0.3159999999999994}",25,9,27.395368669117524,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.7, 'e': 0.3139999999999994}",30,14,20.449356763287675,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
344,False,"{'a': 0.7, 'e': 0.3119999999999994}",25,3,-23.017427378058283,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
345,False,"{'a': 0.7, 'e': 0.3099999999999994}",20,3,4.120362404663014,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
346,False,"{'a': 0.7, 'e': 0.3079999999999994}",30,7,-61.884034556195765,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 2}",1
347,False,"{'a': 0.7, 'e': 0.3059999999999994}",20,6,10.228760539045878,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
348,False,"{'a': 0.7, 'e': 0.3039999999999994}",20,9,-0.5393536994192902,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
349,False,"{'a': 0.7, 'e': 0.3019999999999994}",25,0,15.162456602715366,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
350,False,"{'a': 0.7, 'e': 0.2999999999999994}",30,19,-45.30942412989926,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
351,False,"{'a': 0.7, 'e': 0.2979999999999994}",25,0,-49.55915105866545,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
352,False,"{'a': 0.7, 'e': 0.2959999999999994}",30,6,-5.410846447146543,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 0}",1
353,False,"{'a': 0.7, 'e': 0.2939999999999994}",20,6,-12.737431488271504,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 0}",1
354,False,"{'a': 0.7, 'e': 0.29199999999999937}",20,0,2.0049960061933456,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
355,False,"{'a': 0.7, 'e': 0.28999999999999937}",30,3,-11.870908429460068,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 1}",1
356,False,"{'a': 0.7, 'e': 0.28799999999999937}",20,6,4.303232438405051,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.7, 'e': 0.28599999999999937}",25,13,21.101104852818168,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.7, 'e': 0.28399999999999936}",30,12,-29.380985631184565,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
359,False,"{'a': 0.7, 'e': 0.28199999999999936}",20,9,-12.021685392789573,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
360,False,"{'a': 0.7, 'e': 0.27999999999999936}",25,8,-36.00595395155456,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
361,False,"{'a': 0.7, 'e': 0.27799999999999936}",30,7,-35.16941496407358,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
362,False,"{'a': 0.7, 'e': 0.27599999999999936}",35,21,12.223748588679356,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
363,False,"{'a': 0.7, 'e': 0.27399999999999936}",35,20,3.5151910580222543,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
364,False,"{'a': 0.7, 'e': 0.27199999999999935}",25,2,28.188928814601617,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.7, 'e': 0.26999999999999935}",25,6,14.727777819126228,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
366,False,"{'a': 0.7, 'e': 0.26799999999999935}",30,13,12.025963467408257,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
367,False,"{'a': 0.7, 'e': 0.26599999999999935}",20,6,-23.187370603857755,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
368,False,"{'a': 0.7, 'e': 0.26399999999999935}",20,11,19.194592882736437,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.7, 'e': 0.26199999999999934}",30,0,-31.682278519243262,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
370,False,"{'a': 0.7, 'e': 0.25999999999999934}",30,8,-20.65702918166222,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
